kvalita,plocha,rok_stavby,rok_prodeje,cena
8,253,1932,2007,7.88
7,137,1972,2007,4.6
7,132,1999,2009,4.8
7,158,2004,2006,3.25
5,80,1972,2008,3.18
6,135,1976,2009,3.71
7,160,2007,2007,7.8
8,289,1918,2006,5.88
6,207,1912,2009,2.6
8,159,2004,2009,6.87
4,104,2003,2010,3.5
6,118,1977,2008,4.29
6,121,1924,2006,2.8
6,78,2004,2008,3.72
5,119,1947,2009,2.75
7,133,1990,2009,4.51
5,157,1962,2007,3.6
4,102,1960,2008,3.52
7,191,1988,2007,6.92
6,101,1964,2008,3.62
5,80,1925,2008,2.45
6,112,2009,2010,4.65
7,172,2009,2009,6.32
5,91,1995,2006,3.9
6,129,1977,2010,4.04
5,114,1957,2006,3.36
7,133,2004,2008,5.25
4,123,1925,2006,2.68
7,181,1939,2008,7.79
7,115,2005,2006,4.18
7,139,2006,2006,5.12
6,210,2002,2009,5.0
6,144,1975,2006,4.5
4,80,1971,2009,2.42
10,222,2003,2009,9.66
5,120,1971,2009,2.8
7,234,1995,2007,7.25
6,91,1970,2008,2.65
5,84,1967,2010,3.12
7,144,2005,2009,4.81
6,110,1959,2010,3.7
8,259,1995,2009,10.07
6,91,1972,2006,2.36
5,83,1976,2010,3.2
6,182,2002,2010,5.41
6,91,1971,2008,2.24
7,131,2004,2010,4.64
7,162,1993,2010,4.86
8,157,2007,2007,7.95
6,138,1945,2010,2.82
8,145,2008,2010,6.56
5,80,1945,2007,2.76
5,133,1900,2006,1.98
6,113,1980,2009,3.0
7,196,1994,2010,5.12
7,173,1988,2006,6.04
6,179,1910,2006,3.42
6,127,1954,2006,3.5
7,154,2003,2007,4.5
6,199,1958,2007,6.92
3,121,1940,2010,1.91
8,150,2006,2007,5.88
6,152,2004,2008,4.32
6,120,1964,2007,3.95
5,122,1957,2010,3.62
7,212,1999,2006,5.75
6,160,2003,2008,5.19
7,149,2006,2009,5.5
7,166,2001,2008,5.79
5,81,1956,2008,2.42
6,128,1962,2009,4.4
8,239,2007,2007,6.9
6,112,1977,2006,3.78
5,122,1929,2010,3.25
5,70,1925,2008,1.82
6,132,1981,2008,4.39
6,140,1997,2006,4.62
5,203,1939,2008,4.49
5,72,1940,2008,3.01
6,103,1976,2007,3.7
8,180,2006,2006,6.65
7,126,1954,2008,6.04
8,210,1999,2010,7.25
6,151,1958,2009,3.48
5,75,1982,2007,3.11
7,143,1925,2009,5.12
7,144,2003,2010,5.03
4,80,1951,2010,3.52
9,197,2006,2007,10.38
7,187,1977,2008,4.8
7,184,1989,2007,5.71
6,117,2006,2006,4.62
7,122,2007,2009,5.19
8,136,2008,2009,6.12
6,146,1992,2007,4.48
7,116,2006,2007,4.12
6,161,1962,2006,3.98
4,79,1971,2006,2.2
5,83,1967,2010,3.05
6,129,1915,2007,3.84
8,178,2006,2006,5.83
5,159,1912,2008,3.4
5,159,1949,2009,3.28
7,210,1977,2006,5.88
6,152,1953,2009,4.18
6,93,1984,2006,3.56
5,144,1950,2007,3.8
7,181,1997,2007,5.98
6,161,1968,2007,4.38
6,107,1950,2009,3.96
5,124,1953,2006,3.92
8,227,1998,2007,6.68
7,143,2001,2006,5.12
5,83,1972,2006,3.75
7,324,1880,2008,7.38
8,185,2004,2007,7.65
7,208,1990,2007,5.62
6,130,1920,2008,2.24
4,79,1940,2009,2.06
9,180,2003,2006,9.0
6,139,1993,2006,4.14
6,90,1948,2009,3.3
5,103,1939,2006,3.0
7,189,1965,2009,9.38
7,152,1925,2006,4.45
7,133,2004,2009,4.71
7,218,1980,2009,6.5
8,181,2006,2007,6.75
7,245,1993,2009,6.5
7,136,1980,2009,4.69
9,241,2006,2006,8.57
8,229,2004,2007,8.85
7,253,1986,2007,7.52
3,108,1955,2006,3.15
7,276,1967,2010,6.05
5,74,1941,2007,2.17
8,159,1993,2008,8.1
6,128,1960,2006,3.63
6,198,1916,2009,5.36
5,110,1920,2009,1.95
5,160,1964,2007,2.98
5,98,1958,2007,3.48
8,151,2003,2009,7.1
7,126,2004,2008,5.18
6,152,1998,2008,4.8
5,165,1965,2008,5.72
9,178,2005,2007,9.44
7,142,2002,2008,5.35
7,150,1984,2006,5.06
6,112,1958,2009,3.88
8,177,2002,2010,5.07
4,78,1950,2009,2.05
3,96,1949,2006,2.19
9,156,2005,2008,6.65
5,103,1976,2010,2.12
6,146,1939,2006,3.5
6,89,1960,2007,3.79
6,137,1960,2009,3.94
7,151,2003,2008,3.85
9,253,2005,2006,10.93
9,173,2007,2007,7.95
7,134,1986,2006,4.75
5,103,1941,2008,2.38
6,66,1928,2010,2.65
6,148,1940,2006,3.5
6,111,1995,2007,4.44
6,108,1992,2009,4.32
5,106,1976,2007,3.35
5,125,1958,2006,3.25
8,178,1998,2006,7.0
6,84,1978,2007,3.9
5,139,1940,2008,3.62
7,178,2003,2009,4.96
6,91,1972,2009,2.95
6,146,1976,2006,4.75
5,124,1920,2009,3.68
6,129,1963,2009,3.98
6,132,1962,2008,4.12
5,117,1954,2010,3.3
5,119,1959,2010,4.05
6,154,2000,2006,4.31
4,147,1959,2008,3.36
6,69,1984,2010,3.12
5,122,1953,2009,3.08
7,179,2003,2007,5.49
1,83,1922,2009,1.52
5,84,1996,2006,3.7
8,229,2004,2007,8.5
9,172,2010,2010,9.86
6,167,2000,2009,4.47
5,157,1924,2010,3.18
7,120,2006,2006,4.69
7,166,2006,2007,5.34
6,72,1928,2009,1.9
6,181,1992,2007,6.0
8,117,2004,2010,4.8
5,109,1910,2006,2.02
6,104,1976,2009,3.12
7,137,1999,2008,4.78
10,216,2007,2008,10.65
5,126,1900,2008,2.98
6,182,2001,2009,5.38
5,81,1959,2007,2.66
4,73,1941,2006,2.5
5,96,1940,2007,2.72
5,106,1956,2010,3.22
5,83,1972,2009,3.08
5,168,1962,2007,4.24
5,100,1920,2007,1.68
7,143,2006,2009,6.02
8,119,1996,2008,6.14
7,121,2005,2006,4.12
5,62,1940,2008,2.7
8,210,1998,2006,6.45
6,146,1995,2007,4.2
4,150,1976,2009,3.75
6,152,1936,2008,2.88
6,156,1915,2008,4.42
7,201,2006,2007,7.0
8,193,2007,2008,8.49
5,118,1958,2009,1.5
5,98,1955,2006,3.62
7,137,2009,2010,5.55
5,95,1927,2010,2.88
7,194,1993,2008,5.7
7,124,2007,2007,4.53
6,130,1978,2006,3.74
6,243,1918,2007,5.98
5,105,1940,2007,3.15
5,98,1968,2010,3.55
7,124,1997,2008,5.16
6,148,1977,2009,5.38
5,91,1954,2008,2.82
8,244,1998,2008,7.88
6,111,1956,2008,3.48
7,129,1946,2009,3.38
7,152,1989,2009,6.88
4,84,1957,2008,2.73
7,112,2007,2007,4.88
6,131,1988,2009,4.38
6,91,1971,2008,2.13
6,111,1920,2008,2.0
5,126,1971,2007,3.06
6,149,1997,2008,4.53
4,58,1972,2008,2.02
7,154,1996,2009,5.3
6,103,1920,2006,2.9
6,83,1926,2009,2.98
5,64,1913,2007,2.26
6,111,1920,2009,2.75
10,223,2008,2009,13.88
4,133,1955,2008,2.95
5,146,1930,2008,4.07
7,116,2006,2007,4.31
7,177,1994,2008,5.25
6,156,1956,2009,3.19
6,175,1966,2010,4.75
7,175,1998,2006,5.0
6,127,1937,2006,2.99
3,109,1948,2007,3.0
6,75,1930,2006,2.75
7,142,1975,2006,7.0
6,163,1996,2007,5.1
8,147,2008,2009,5.25
5,160,1976,2006,4.7
7,115,1973,2007,4.39
5,124,1916,2008,2.45
4,154,1954,2008,6.4
8,154,1925,2008,4.03
5,111,1950,2009,2.75
8,179,2009,2009,6.59
7,105,1936,2009,3.88
5,80,1965,2009,1.56
6,154,1934,2008,4.72
5,96,1978,2009,3.1
7,131,2004,2006,4.47
7,118,1970,2007,4.18
5,152,1942,2007,3.66
8,151,2006,2007,6.25
6,158,1993,2008,4.68
8,139,1985,2010,5.3
7,182,1977,2007,4.75
6,99,2005,2008,3.7
8,183,2006,2007,11.0
8,153,2000,2007,6.28
5,90,1963,2007,3.31
6,138,1997,2008,5.22
9,245,2006,2007,9.5
8,159,2007,2009,7.42
4,105,1937,2007,2.24
9,171,2004,2006,8.15
9,166,2003,2006,9.35
7,169,1915,2009,3.88
6,112,1998,2006,4.1
5,92,1962,2007,3.31
5,103,1950,2009,3.68
5,99,1965,2007,3.9
5,137,1971,2007,4.38
5,224,1900,2006,4.0
4,58,1970,2009,2.15
5,121,1976,2008,2.88
6,146,1941,2006,3.32
6,135,2006,2006,4.32
5,117,1960,2008,3.88
5,82,1938,2009,2.28
4,66,1920,2009,0.87
8,299,1992,2007,10.75
7,169,1925,2008,4.6
5,83,1967,2009,3.25
5,84,1958,2007,3.0
6,113,1973,2007,2.82
7,164,2005,2008,5.67
5,112,1965,2007,3.5
7,167,1959,2010,7.22
6,122,1974,2009,3.68
5,182,1952,2009,3.11
8,177,1993,2006,5.38
6,113,2009,2009,5.21
7,128,1928,2008,4.03
5,96,1959,2009,3.11
5,126,1951,2009,4.12
7,127,2005,2006,5.07
5,80,1958,2006,3.25
6,100,1983,2007,3.35
5,73,1926,2007,2.41
10,187,2009,2009,10.07
6,196,1972,2009,3.95
7,217,1996,2009,6.62
6,166,1998,2007,5.28
7,193,1926,2009,5.85
4,120,1900,2008,2.66
6,115,1957,2007,3.75
6,154,1947,2006,3.98
10,434,2007,2007,4.62
7,222,1996,2007,7.89
7,117,2005,2006,4.4
5,86,1956,2007,3.3
9,252,2008,2008,11.16
4,56,1920,2007,2.15
6,233,1957,2007,5.02
6,140,1988,2008,4.38
6,126,1920,2008,3.2
5,76,1955,2010,2.69
1,31,1946,2007,0.98
8,131,2004,2006,4.45
5,125,1910,2008,2.69
7,160,1998,2008,4.7
4,80,1972,2008,2.78
5,107,1968,2006,3.95
8,148,2001,2010,6.8
9,170,2006,2009,7.88
8,212,2000,2007,6.2
7,156,1998,2009,5.33
7,71,1998,2007,3.32
7,138,2006,2006,4.49
7,202,1988,2006,5.72
6,151,1923,2007,5.25
5,71,1970,2007,3.24
5,76,1955,2008,3.12
7,194,2003,2009,6.58
6,99,1977,2008,3.5
5,86,1957,2008,2.81
8,159,2006,2009,6.39
4,104,1949,2009,2.7
7,190,2003,2008,7.1
5,97,1922,2006,2.82
5,101,1957,2006,3.52
4,124,1920,2006,2.7
7,134,1996,2008,4.38
7,144,2003,2006,5.85
5,129,1957,2010,3.04
5,129,1974,2006,4.25
5,92,1940,2008,2.7
6,155,1918,2008,4.62
7,213,1992,2006,6.7
6,153,1915,2010,3.2
9,232,2005,2008,8.12
7,142,2004,2010,5.35
8,198,1983,2009,7.92
5,87,1979,2006,3.4
5,160,1965,2008,3.56
6,80,1959,2006,3.0
7,157,2009,2009,5.61
7,132,2000,2007,4.25
5,103,1971,2007,3.48
5,112,1947,2008,2.96
7,137,1928,2009,3.62
5,122,1966,2006,4.11
7,129,2007,2008,3.65
5,166,1954,2008,3.29
6,132,1960,2007,4.55
8,189,2008,2009,6.33
6,75,1990,2007,2.96
10,257,1893,2008,8.12
4,146,1935,2009,3.32
8,188,2005,2006,9.25
6,77,1918,2008,3.25
5,79,1982,2009,3.42
5,136,1968,2009,3.58
5,86,1930,2008,1.99
7,146,2004,2008,4.65
10,213,2008,2009,11.3
5,75,1982,2008,3.45
6,78,2003,2009,3.5
5,85,1975,2008,2.75
8,169,2005,2006,7.98
6,127,1910,2006,2.86
7,130,2006,2007,4.86
5,153,1977,2006,5.44
6,144,1980,2008,3.78
8,176,2005,2006,6.88
6,127,1937,2007,3.52
8,177,1992,2006,5.5
7,111,2004,2010,3.78
7,138,2002,2008,5.52
7,184,1965,2009,5.12
5,96,1996,2009,3.8
5,186,1948,2006,5.62
8,296,1934,2007,8.98
4,95,1961,2007,2.96
9,200,2000,2009,7.82
6,95,1978,2007,3.7
8,173,2001,2009,6.54
5,104,2007,2007,3.68
4,58,1972,2010,1.89
6,97,1963,2010,3.44
6,140,2002,2006,4.58
6,77,1954,2008,2.64
9,169,2007,2007,7.87
8,210,2003,2008,7.62
3,80,1914,2008,1.68
6,242,1974,2008,6.0
5,91,1977,2009,3.38
6,140,2000,2007,4.21
6,166,1972,2006,4.13
6,103,1962,2010,4.0
5,132,1960,2007,3.5
6,141,1955,2010,3.82
5,193,1969,2007,3.38
6,125,1964,2008,4.21
5,162,1880,2006,3.1
8,144,2006,2007,5.24
7,131,1977,2009,2.06
5,98,1954,2007,3.48
6,98,1980,2010,3.6
6,315,1914,2007,5.0
2,74,1936,2009,1.5
5,128,1954,2009,2.33
5,73,1910,2008,2.12
8,145,2006,2006,6.61
8,141,2003,2008,6.85
7,179,2001,2007,5.65
8,251,1972,2009,8.62
5,150,1969,2007,3.8
9,164,2009,2009,9.27
6,91,1971,2007,3.58
5,97,1950,2008,2.46
6,101,1953,2008,3.88
6,170,1966,2010,3.88
4,58,1970,2007,2.11
7,154,2007,2008,5.15
4,140,1940,2009,2.7
7,159,1996,2009,4.78
6,136,1906,2008,3.38
8,196,1995,2008,8.75
6,101,1971,2010,2.2
5,97,1959,2008,3.64
7,139,1931,2008,3.72
6,135,1948,2010,2.44
5,138,1964,2009,4.18
7,179,1976,2007,4.95
8,227,1994,2009,10.05
6,129,1968,2009,2.75
4,109,1972,2008,3.44
8,194,2005,2006,10.58
8,179,2000,2006,5.76
6,221,1965,2007,3.22
6,155,1994,2008,4.84
5,133,1956,2006,4.2
4,109,1922,2006,3.44
6,137,2005,2009,4.34
6,127,1925,2009,2.59
6,112,1977,2006,4.12
6,170,1957,2007,6.44
6,105,1965,2008,3.5
6,133,1978,2009,3.71
4,164,1900,2006,2.17
5,73,1924,2009,2.74
8,190,2008,2009,9.31
5,91,1961,2007,3.21
6,85,1980,2010,3.58
5,141,1932,2009,3.99
6,119,1996,2008,4.32
9,154,2002,2007,7.12
7,170,1998,2010,5.52
7,194,1984,2007,5.19
7,163,2007,2007,5.7
7,102,2004,2007,3.72
8,131,2007,2007,9.8
6,126,2005,2007,4.87
6,78,2004,2008,3.52
10,400,1994,2007,18.88
7,234,1989,2006,8.38
5,99,1921,2006,2.71
5,142,1936,2009,3.54
6,105,1987,2006,4.4
5,57,1921,2006,2.22
5,106,1952,2006,3.09
5,83,1965,2010,3.46
7,129,2004,2008,4.9
8,167,2002,2006,7.81
7,108,1969,2006,3.5
8,239,2006,2006,9.05
5,168,1900,2010,3.5
7,137,2004,2010,5.32
4,101,1930,2010,1.38
7,169,1971,2007,7.55
8,123,2006,2009,6.35
7,135,2007,2007,4.49
5,83,1966,2008,2.75
3,67,1935,2008,1.3
4,109,1900,2010,2.57
8,114,1988,2008,4.72
4,89,1970,2006,3.22
6,137,1976,2010,3.26
6,125,1974,2009,4.12
7,237,1890,2007,3.99
5,109,1973,2008,3.92
7,224,1993,2008,8.52
5,90,1969,2006,3.21
8,161,1985,2006,6.88
6,78,2004,2010,3.58
4,80,1970,2009,3.11
4,136,1954,2008,3.38
9,157,2007,2009,8.0
4,80,1970,2009,3.01
6,156,1988,2009,5.55
7,114,2007,2009,4.86
5,164,1958,2009,2.75
4,112,1925,2009,2.58
8,150,1995,2010,5.91
7,106,2003,2007,4.69
7,188,1998,2008,5.56
5,106,1961,2009,3.28
5,88,1968,2007,2.7
7,164,1914,2006,4.08
3,96,1950,2006,2.34
8,167,2005,2006,6.0
5,111,1987,2009,4.47
7,160,2004,2009,4.75
5,133,1910,2007,3.3
6,84,1961,2008,3.55
7,125,2000,2007,4.47
5,136,1963,2009,4.38
8,124,1993,2008,4.5
8,252,1976,2008,7.5
7,209,2000,2009,5.9
7,245,1880,2009,6.65
7,159,1996,2010,6.51
4,142,1945,2009,2.45
4,105,1910,2010,2.41
7,122,2003,2007,4.05
6,138,1997,2006,5.42
8,194,2005,2006,6.89
6,95,1969,2009,3.9
6,136,1999,2009,4.31
8,164,2007,2009,5.3
6,128,1978,2010,3.97
7,139,1999,2008,4.49
8,235,1995,2007,7.25
6,80,1959,2009,3.19
5,120,1924,2009,2.5
7,143,2009,2010,5.38
8,219,1999,2009,8.43
8,138,1995,2006,6.75
9,139,2008,2008,6.6
7,159,1988,2010,4.91
6,162,1940,2008,4.0
7,170,2004,2006,5.42
8,304,2003,2010,13.45
5,79,1982,2009,3.37
4,113,1951,2006,2.55
6,103,1976,2010,2.68
5,84,1958,2007,2.86
8,183,2006,2007,9.88
6,111,1998,2009,4.05
7,149,2005,2006,5.54
5,83,1974,2006,3.56
5,187,1977,2007,3.6
6,93,1977,2006,3.38
7,116,1995,2007,4.4
6,148,1992,2006,4.4
7,132,2001,2009,4.68
5,103,1978,2009,4.14
6,137,1914,2008,3.2
6,124,1967,2009,4.04
5,153,1915,2010,3.48
7,193,2004,2010,5.82
4,83,1954,2008,2.7
6,193,1966,2007,4.69
7,106,2005,2009,4.0
6,98,1976,2007,3.67
7,187,1996,2007,6.74
8,138,2007,2007,5.62
7,176,1994,2008,4.86
6,145,1980,2010,4.28
6,119,1977,2007,3.59
5,71,1953,2008,2.75
9,291,2008,2009,12.12
5,164,1937,2007,4.38
6,156,1997,2008,5.0
4,111,1916,2007,2.75
7,135,2005,2008,4.72
9,262,2008,2009,14.57
5,104,1954,2006,2.95
7,132,2008,2008,5.69
5,91,1967,2006,3.39
5,146,1923,2009,5.59
5,100,1966,2006,4.0
5,198,1898,2009,2.65
6,121,1974,2006,4.53
6,78,2004,2008,3.61
5,96,1952,2010,1.4
6,133,1958,2007,3.95
5,116,1918,2006,2.9
7,154,1998,2010,5.62
5,93,1954,2006,3.42
8,156,2002,2008,6.78
6,97,1971,2010,3.88
7,126,2009,2010,5.6
7,152,2003,2008,4.58
4,86,1953,2009,2.33
7,161,2003,2007,5.62
6,138,1940,2009,3.49
8,138,2006,2006,5.82
10,193,2007,2008,9.62
5,72,1924,2008,2.74
7,133,2001,2009,4.72
5,197,1967,2009,4.62
7,113,2005,2006,3.68
6,129,1957,2008,4.15
7,111,2005,2006,3.78
7,169,2003,2010,5.92
6,140,1964,2009,4.18
5,106,1961,2008,3.5
4,99,1950,2010,3.2
5,144,1948,2007,3.84
6,91,1973,2008,2.5
5,102,1995,2008,3.6
5,111,1946,2008,3.26
6,137,1925,2008,3.5
5,142,1904,2008,3.94
6,108,1966,2008,4.37
5,167,1961,2007,3.52
5,131,1915,2008,3.85
5,158,1975,2007,4.28
7,164,1993,2009,5.32
5,80,1972,2009,3.34
6,219,1908,2008,6.0
6,172,1976,2007,4.68
6,78,2003,2007,3.29
8,135,2003,2006,5.38
7,152,1941,2007,4.1
6,134,1964,2009,3.95
5,165,1955,2006,4.25
5,96,1962,2010,3.18
6,95,1978,2008,3.68
6,137,1994,2009,4.35
7,127,1976,2009,3.8
6,246,1968,2006,6.25
7,132,1918,2007,4.75
5,96,1965,2010,3.29
6,101,1984,2010,3.8
5,106,1959,2009,3.31
7,127,2007,2008,6.26
5,93,1970,2009,3.71
8,152,2006,2007,6.22
4,104,1961,2007,3.22
5,215,1948,2006,4.22
7,181,1993,2010,5.9
5,83,1962,2009,2.74
6,156,1998,2010,5.01
5,84,1953,2008,2.9
5,117,1949,2009,3.32
5,105,1941,2009,1.66
8,242,2007,2007,7.59
4,96,1963,2007,3.31
9,206,2004,2009,8.75
5,107,1961,2010,3.7
5,80,1978,2009,3.41
5,101,2005,2007,3.92
7,159,1990,2007,4.69
6,147,1992,2009,4.45
4,207,1912,2006,2.96
5,82,1967,2009,2.5
9,158,1999,2008,8.22
5,159,1959,2006,3.62
5,129,1955,2008,3.39
8,205,1970,2007,6.7
6,139,1953,2009,3.74
5,85,1949,2007,3.07
6,156,1978,2009,4.31
6,99,1963,2006,3.86
5,128,1954,2008,4.12
5,142,1979,2009,2.97
6,166,1963,2008,3.5
4,88,1936,2006,2.66
5,208,1979,2009,3.57
9,219,2009,2010,15.29
5,114,1961,2006,3.38
4,79,1971,2007,2.75
5,121,1957,2009,3.82
7,140,2003,2006,4.5
7,155,2006,2006,6.0
5,83,1967,2007,3.14
5,98,1954,2010,3.2
8,151,2006,2007,6.38
7,191,1936,2006,6.25
5,83,1983,2006,3.28
6,137,2005,2009,4.35
5,211,1960,2010,3.86
5,117,1977,2009,3.59
5,94,1925,2006,2.2
5,185,1949,2007,3.62
6,113,2009,2009,4.34
4,101,1970,2007,1.88
2,44,1949,2006,0.88
4,114,1956,2009,3.38
7,197,1991,2007,5.95
6,131,1958,2008,4.41
6,159,1994,2007,5.03
5,204,1900,2008,3.65
6,122,2005,2006,4.25
6,150,1993,2008,4.82
6,156,1980,2006,5.19
5,104,1977,2008,4.38
8,220,2003,2007,7.12
7,183,1968,2008,4.4
8,166,2001,2009,5.91
7,207,1997,2006,5.55
8,136,2007,2009,5.03
5,85,1965,2009,2.94
9,176,2006,2007,8.0
7,139,2004,2009,4.75
7,192,1960,2008,6.05
4,69,1926,2006,2.0
7,111,2003,2009,4.62
7,183,2005,2009,6.32
7,182,2006,2006,5.99
7,223,1940,2010,6.11
6,160,1976,2006,3.77
7,191,1999,2009,5.35
4,133,1977,2007,3.75
5,151,1967,2007,3.58
6,124,1958,2009,3.44
5,173,1890,2009,3.12
5,106,1959,2006,3.58
8,151,2002,2007,6.75
7,164,2002,2006,4.81
6,128,1972,2010,4.94
5,80,1950,2007,3.22
5,89,1965,2006,3.0
5,71,1972,2009,3.35
5,182,1969,2008,4.3
6,91,1975,2006,3.19
6,181,1946,2007,3.62
6,114,1980,2009,3.1
5,98,1962,2007,3.3
7,124,2003,2007,4.62
7,131,1999,2010,3.88
5,79,1958,2010,2.91
6,266,1977,2008,6.8
6,143,1976,2007,3.88
9,167,2007,2009,5.98
7,175,2002,2010,5.37
6,137,2005,2007,4.47
5,121,1940,2009,4.0
5,102,1955,2008,3.38
3,89,1910,2009,0.95
6,101,1958,2006,3.5
4,110,1949,2006,3.38
7,151,2003,2009,4.32
6,85,1979,2010,2.49
7,132,2007,2008,4.55
7,187,1910,2009,4.19
7,128,2000,2006,4.12
4,80,1923,2006,2.14
7,115,2006,2007,5.0
4,83,1954,2007,2.75
5,104,1963,2009,3.48
7,92,1961,2008,4.46
8,242,1998,2009,8.4
7,117,2007,2008,4.0
8,212,2002,2008,6.4
5,161,1977,2009,3.15
5,108,1950,2008,3.12
6,151,1910,2006,2.92
9,180,2009,2010,9.88
6,188,1976,2007,4.88
7,146,2006,2006,4.92
8,222,1997,2006,8.7
8,161,1882,2009,4.2
6,171,1964,2007,4.68
6,139,2005,2006,4.35
10,159,2006,2009,8.44
4,114,1946,2006,3.04
